model,task_id,mr,tipo,expected_tool,input_mr0,input_mrX,mr0_call,mrX_call,raw_mrX,causa
llama3.2:3b,t20,mr3,mudanca_de_args,create_calendar_event,Book a conference call event titled 'Q3 Review' on 2026-09-01 at 4pm.,Marque um evento de conferência chamado 'Revisão Q3' em 01/09/2026 às 16h.,"create_calendar_event({""date"": ""2026-09-01"", ""title"": ""Q3 Review"", ""time"": ""16:00""})","create_calendar_event({""date"": ""2026-09-01"", ""title"": ""Revisão Q3"", ""time"": ""16:00""})",,traducao_do_argumento
llama3.2:3b,t27,mr3,mudanca_de_args,translate_text,Translate the sentence 'I love programming' to French.,Traduza a frase 'Eu amo programar' para o francês.,"translate_text({""text"": ""I love programming"", ""target_language"": ""French""})","translate_text({""text"": ""Eu amo programar"", ""target_language"": ""francç""})",,traducao_com_corrupcao
llama3.2:3b,t28,mr3,mudanca_de_args,translate_text,How do you say 'thank you very much' in German?,Como se diz 'muito obrigado' em alemão?,"translate_text({""text"": ""thank you very much"", ""target_language"": ""German""})","translate_text({""text"": ""muito obrigado"", ""target_language"": ""alemåo""})",,traducao_com_corrupcao
llama3.2:3b,t29,mr3,mudanca_de_args,translate_text,Translate this text into Italian: 'Where is the train station?',Traduza este texto para o italiano: 'Onde fica a estação de trem?',"translate_text({""text"": ""Where is the train station?"", ""target_language"": ""Italian""})","translate_text({""text"": ""Onde fica a estãcio de trem?"", ""target_language"": ""italiano""})",,traducao_com_corrupcao
llama3.2:3b,t38,mr3,mudanca_de_args,set_reminder,Set a reminder to pay the electricity bill on Friday.,Defina um lembrete para pagar a conta de luz na sexta-feira.,"set_reminder({""task"": ""pay the electricity bill"", ""time"": ""Friday""})","set_reminder({""task"": ""pagar a conta de luz"", ""time"": ""quinta-feira, 18:00""})",,traducao_do_argumento
qwen3.5:4b,t02,mr3,mudanca_de_args,get_weather,Tell me the current temperature in Tokyo in fahrenheit.,Me diga a temperatura atual em Tóquio em fahrenheit.,"get_weather({""city"": ""Tokyo"", ""unit"": ""fahrenheit""})","get_weather({""city"": ""Tóquio"", ""unit"": ""fahrenheit""})",,traducao_do_argumento
qwen3.5:4b,t13,mr1,mudanca_de_args,search_web,Find information about the history of the Eiffel Tower.,I want to read up on the background and history of the Eiffel Tower.,"search_web({""query"": ""history of the Eiffel Tower""})","search_web({""query"": ""Eiffel Tower background and history""})",,parafrase_mudou_query
qwen3.5:4b,t13,mr3,mudanca_de_args,search_web,Find information about the history of the Eiffel Tower.,Encontre informações sobre a história da Torre Eiffel.,"search_web({""query"": ""history of the Eiffel Tower""})","search_web({""query"": "" história da Torre Eiffel""})",,traducao_do_argumento
qwen3.5:4b,t15,mr1,mudanca_de_args,search_web,Google what the tallest mountain in the world is.,Can you search to find out which mountain is the highest on Earth?,"search_web({""query"": ""tallest mountain in the world""})","search_web({""query"": ""highest mountain on earth""})",,parafrase_mudou_query
qwen3.5:4b,t15,mr3,mudanca_de_args,search_web,Google what the tallest mountain in the world is.,Pesquise qual é a montanha mais alta do mundo.,"search_web({""query"": ""tallest mountain in the world""})","search_web({""query"": ""montanha mais alta do mundo""})",,traducao_do_argumento
qwen3.5:4b,t16,mr2,mudanca_de_args,create_calendar_event,Create a calendar event called 'Dentist' on 2026-07-10 at 9am.,Crreate  a calendar event called  'Dnetist'  on  2026-07-10  at 9am.,"create_calendar_event({""title"": ""Dentist"", ""date"": ""2026-07-10"", ""time"": ""09:00""})","create_calendar_event({""title"": ""Dnetist"", ""date"": ""2026-07-10"", ""time"": ""09:00""})",,corrupcao_por_ruido
qwen3.5:4b,t16,mr3,mudanca_de_args,create_calendar_event,Create a calendar event called 'Dentist' on 2026-07-10 at 9am.,Crie um evento na agenda chamado 'Dentista' em 10/07/2026 às 9h.,"create_calendar_event({""title"": ""Dentist"", ""date"": ""2026-07-10"", ""time"": ""09:00""})","create_calendar_event({""title"": ""Dentista"", ""date"": ""2026-07-10"", ""time"": ""09:00""})",,traducao_do_argumento
qwen3.5:4b,t18,mr3,mudanca_de_args,create_calendar_event,Schedule a birthday party event on 2026-08-15.,Agende um evento de festa de aniversário em 15/08/2026.,"create_calendar_event({""title"": ""Birthday Party"", ""date"": ""2026-08-15""})","create_calendar_event({""title"": ""Festa de Aniversário"", ""date"": ""2026-08-15"", ""time"": ""19:00""})",,traducao_do_argumento
qwen3.5:4b,t19,mr3,mudanca_de_args,create_calendar_event,Put a doctor appointment on my calendar for tomorrow at 10:30.,Coloque uma consulta médica na minha agenda para amanhã às 10:30.,"create_calendar_event({""title"": ""Doctor Appointment"", ""date"": ""2026-07-14"", ""time"": ""10:30""})","create_calendar_event({""title"": ""Consulta Médica"", ""date"": ""2025-07-19"", ""time"": ""10:30""})",,erro_semantico_data
qwen3.5:4b,t20,mr3,mudanca_de_args,create_calendar_event,Book a conference call event titled 'Q3 Review' on 2026-09-01 at 4pm.,Marque um evento de conferência chamado 'Revisão Q3' em 01/09/2026 às 16h.,"create_calendar_event({""title"": ""Q3 Review"", ""date"": ""2026-09-01"", ""time"": ""16:00""})","create_calendar_event({""title"": ""Revisão Q3"", ""date"": ""2026-09-01"", ""time"": ""16:00""})",,traducao_do_argumento
qwen3.5:4b,t39,mr1,mudanca_de_args,set_reminder,Remind me to water the plants at 7am.,Set up a reminder for watering the plants at 7 in the morning.,"set_reminder({""task"": ""water the plants"", ""time"": ""07:00""})","set_reminder({""task"": ""Watering the plants"", ""time"": ""07:00""})",,parafrase_mudou_query
qwen3.5:4b,t39,mr3,mudanca_de_args,set_reminder,Remind me to water the plants at 7am.,Me lembre de regar as plantas às 7h.,"set_reminder({""task"": ""water the plants"", ""time"": ""07:00""})","set_reminder({""task"": ""Regar as plantas"", ""time"": ""07:00""})",,traducao_do_argumento
